Code,Description,LAT,LON
10105,"Omolik Lagoon, AK: Omolik Lagoon Airport",,
10106,"Bradley Lake Project, AK: Bradley Lake Project Airport",,
10107,"Barrow, AK: Ice Strip",72.5666656,-38.4666672
10108,"Barrow, AK: Ice Strip",72.5666656,-38.4666672
10109,"Barrow, AK: Ice Strip",72.5666656,-38.4666672
10110,"Akulik, AK: Akulik Air Strip",,
10111,"Deadfall, AK: Deadfall Air Strip",,
10112,"Eagle Creek, AK: Eagle Creek Airport",35.793611,-96.02972199999999
10113,"Bethel, AK: Ice Kong",,
10116,"Kachemak Bay, AK: Glacier Split",,
10117,"Selby Lake, AK: Selby Lake Airport",53.83686415,-1.1941021149079885
10118,"Anaa, French Polynesia: Anaa Airport",-17.350665399999997,-145.51111994065874
10119,"Arrabury, Australia: Arrabury Station",-26.696783500000002,141.049092
10120,"El Arish, Egypt: El Arish International",31.074287199999997,33.82922270280916
10121,"Annaba, Algeria: Rabah Bitat",36.83052015,7.806642445249906
10122,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",,
10123,"Aachen, Germany: Aachen Merzbrueck",50.82284165,6.1867384925237205
10124,"Arraias, Brazil: Arraias Airport",2.98,-60.0952988
10125,"Aalborg, Denmark: Aalborg Airport",57.086435200000004,9.868075521300991
10126,"Mala Mala, South Africa: Malamala",-24.8181562,31.545343730604053
10127,"Al Ain, United Arab Emirates: Al Ain International",24.26567745,55.616477671020355
10128,"Anaco, Venezuela: Anaco Airport",9.4298739,-64.47086334549915
10129,"Anapa, Russia: Vityazevo",,
10130,"Aarhus, Denmark: Aarhus Airport",56.30454255,10.612849817576596
10131,"Asau, Samoa: Asau W Sam",,
10132,"Araxa, Brazil: Romeu Zema",-19.56390535,-46.959713544188425
10134,"Abadan, Iran: Abadan Airport",30.3668469,48.22843950623636
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",40.65116310000001,-75.44225386838299
10136,"Abilene, TX: Abilene Regional",32.407743749999995,-99.67936992920885
