YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2010,1,1,20409.0,B6,B6,JetBlue Airways,3,0.0,38996301.0,38996301.0,0.0,0.0,0.0,0.0,38996301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38996301.0,0.0,38996301.0,0.0,86281447.0,86281447.0,0.0,0.0,0.0,0.0,86281447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86281447.0,0.0,86281447.0
2010,1,1,19704.0,CO,CO,Continental Air Lines Inc.,3,0.0,50968000.0,50968000.0,28641000.0,9790000.0,19691000.0,58122000.0,109090000.0,0.0,70000.0,70000.0,0.0,0.0,0.0,267000.0,267000.0,337000.0,51038000.0,58389000.0,109427000.0,0.0,106185000.0,106185000.0,60332000.0,20957000.0,42828000.0,124117000.0,230302000.0,0.0,164000.0,164000.0,0.0,0.0,0.0,516000.0,516000.0,680000.0,106349000.0,124633000.0,230982000.0
2010,1,1,21167.0,CP,CP,Compass Airlines,2,0.0,4715000.0,4715000.0,0.0,0.0,0.0,0.0,4715000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4715000.0,0.0,4715000.0,0.0,10598756.0,10598756.0,0.0,0.0,0.0,0.0,10598756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10598756.0,0.0,10598756.0
2010,1,1,20017.0,CS,CS,Continental Micronesia,2,0.0,0.0,0.0,0.0,3951000.0,0.0,3951000.0,3951000.0,0.0,0.0,0.0,0.0,74000.0,0.0,0.0,74000.0,74000.0,0.0,4025000.0,4025000.0,0.0,0.0,0.0,0.0,8926000.0,0.0,8926000.0,8926000.0,0.0,0.0,0.0,0.0,178000.0,0.0,0.0,178000.0,178000.0,0.0,9104000.0,9104000.0
2010,1,1,19790.0,DL,DL,Delta Air Lines Inc.,3,0.0,128689884.0,128689884.0,52537784.0,31087069.0,21237096.0,104861949.0,233551833.0,0.0,1024606.0,1024606.0,0.0,242317.0,64244.0,0.0,306561.0,1331167.0,129714490.0,105168510.0,234883000.0,0.0,281360743.0,281360743.0,114865826.0,67967119.0,46431662.0,229264607.0,510625350.0,0.0,2240144.0,2240144.0,0.0,529789.0,140460.0,0.0,670249.0,2910393.0,283600887.0,229934856.0,513535743.0
2010,1,1,20357.0,ER,ER,Astar Air Cargo Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109437.0,109437.0,109437.0,0.0,109437.0,109437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267297.0,267297.0,267297.0,0.0,267297.0,267297.0
2010,1,1,20366.0,EV,EV,Atlantic Southeast Airlines,3,0.0,5179.0,5179.0,0.0,0.0,52.0,52.0,5231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5179.0,52.0,5231.0,0.0,18625.0,18625.0,0.0,0.0,188.0,188.0,18813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18625.0,188.0,18813.0
2010,1,1,20057.0,EZ,EZ,Evergreen International Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318698.0,1421597.0,0.0,4895657.0,6635952.0,6635952.0,0.0,6635952.0,6635952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751771.0,3120008.0,0.0,13120360.0,16992139.0,16992139.0,0.0,16992139.0,16992139.0
2010,1,1,20436.0,F9,F9,Frontier Airlines Inc.,3,0.0,13314173.0,13314173.0,0.0,0.0,398315.0,398315.0,13712488.0,0.0,1608.0,1608.0,0.0,0.0,0.0,0.0,0.0,1608.0,13315781.0,398315.0,13714096.0,0.0,28556521.0,28556521.0,0.0,0.0,940854.0,940854.0,29497375.0,0.0,4420.0,4420.0,0.0,0.0,0.0,0.0,0.0,4420.0,28560941.0,940854.0,29501795.0
2010,1,1,20437.0,FL,FL,AirTran Airways Corporation,3,0.0,28834891.0,28834891.0,0.0,0.0,341339.0,341339.0,29176230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28834891.0,341339.0,29176230.0,0.0,61658026.0,61658026.0,0.0,0.0,841605.0,841605.0,62499631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61658026.0,841605.0,62499631.0
2010,1,1,20107.0,FX,FX,Federal Express Corporation,3,0.0,53268799.0,53268799.0,10764886.0,16885129.0,2483301.0,30133316.0,83402115.0,4625.0,1485702.0,1490327.0,364061.0,268953.0,92850.0,0.0,725864.0,2216191.0,54759126.0,30859180.0,85618306.0,0.0,110952000.0,110952000.0,21964000.0,34074000.0,5571000.0,61609000.0,172561000.0,10000.0,3097000.0,3107000.0,739000.0,554000.0,205000.0,0.0,1498000.0,4605000.0,114059000.0,63107000.0,177166000.0
2010,1,1,20368.0,G4,G4,Allegiant Air,2,0.0,6800715.0,6800715.0,0.0,0.0,0.0,0.0,6800715.0,0.0,888471.0,888471.0,0.0,0.0,0.0,0.0,0.0,888471.0,7689186.0,0.0,7689186.0,0.0,15925421.0,15925421.0,0.0,0.0,0.0,0.0,15925421.0,0.0,2150227.0,2150227.0,0.0,0.0,0.0,0.0,0.0,2150227.0,18075648.0,0.0,18075648.0
2010,1,1,20500.0,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0.0,1489976.0,1489976.0,0.0,0.0,0.0,0.0,1489976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489976.0,0.0,1489976.0,0.0,3563403.0,3563403.0,0.0,0.0,0.0,0.0,3563403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3563403.0,0.0,3563403.0
2010,1,1,20402.0,GL,GL,Miami Air International,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386522.0,386522.0,82682.0,0.0,275608.0,197686.0,555976.0,942498.0,386522.0,555976.0,942498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000109.0,1000109.0,213937.0,0.0,713124.0,511506.0,1438567.0,2438676.0,1000109.0,1438567.0,2438676.0
2010,1,1,19690.0,HA,HA,Hawaiian Airlines Inc.,3,0.0,10090864.0,10090864.0,0.0,1409661.0,0.0,1409661.0,11500525.0,0.0,8636.0,8636.0,0.0,0.0,0.0,0.0,0.0,8636.0,10099500.0,1409661.0,11509161.0,0.0,20972813.0,20972813.0,0.0,2998311.0,0.0,2998311.0,23971124.0,0.0,19208.0,19208.0,0.0,0.0,0.0,0.0,0.0,19208.0,20992021.0,2998311.0,23990332.0
