COUNT,DATE
464,2012-12-17
495,2012-12-18
799,2012-12-19
786,2012-12-20
914,2012-12-21
3566,2012-12-22
966,2012-12-23
773,2012-12-24
580,2012-12-25
815,2012-12-26
818,2012-12-27
729,2012-12-28
835,2012-12-29
722,2012-12-30
535,2012-12-31
450,2013-01-01
528,2013-01-02
624,2013-01-03
571,2013-01-04
337,2013-01-05
331,2013-01-06
705,2013-01-07
543,2013-01-08
501,2013-01-09
388,2013-01-10
444,2013-01-11
475,2013-01-12
358,2013-01-13
432,2013-01-14
551,2013-01-15
922,2013-01-16
597,2013-01-17
540,2013-01-18
405,2013-01-19
471,2013-01-20
576,2013-01-21
434,2013-01-22
491,2013-01-23
481,2013-01-24
462,2013-01-25
293,2013-01-26
361,2013-01-27
547,2013-01-28
438,2013-01-29
456,2013-01-30
348,2013-01-31
447,2013-02-01
231,2013-02-02
669,2013-02-03
455,2013-02-04
494,2013-02-05
397,2013-02-06
597,2013-02-07
957,2013-02-08
361,2013-02-09
443,2013-02-10
588,2013-02-11
349,2013-02-12
333,2013-02-13
430,2013-02-14
410,2013-02-15
401,2013-02-16
408,2013-02-17
452,2013-02-18
528,2013-02-19
463,2013-02-20
734,2013-02-21
828,2013-02-22
455,2013-02-23
556,2013-02-24
553,2013-02-25
559,2013-02-26
549,2013-02-27
452,2013-02-28
492,2013-03-01
694,2013-03-02
519,2013-03-03
548,2013-03-04
686,2013-03-05
657,2013-03-06
967,2013-03-07
776,2013-03-08
481,2013-03-09
544,2013-03-10
557,2013-03-11
533,2013-03-12
592,2013-03-13
473,2013-03-14
535,2013-03-15
409,2013-03-16
570,2013-03-17
626,2013-03-18
699,2013-03-19
430,2013-03-20
618,2013-03-21
564,2013-03-22
440,2013-03-23
561,2013-03-24
749,2013-03-25
534,2013-03-26
379,2013-03-27
443,2013-03-28
318,2013-03-29
238,2013-03-30
264,2013-03-31
509,2013-04-01
478,2013-04-02
372,2013-04-03
355,2013-04-04
477,2013-04-05
482,2013-04-06
327,2013-04-07
770,2013-04-08
769,2013-04-09
607,2013-04-10
762,2013-04-11
700,2013-04-12
436,2013-04-13
624,2013-04-14
641,2013-04-15
448,2013-04-16
581,2013-04-17
993,2013-04-18
886,2013-04-19
1381,2013-04-20
1905,2013-04-21
1207,2013-04-22
899,2013-04-23
538,2013-04-24
774,2013-04-25
1198,2013-04-26
519,2013-04-27
365,2013-04-28
576,2013-04-29
397,2013-04-30
518,2013-05-01
854,2013-05-02
711,2013-05-03
500,2013-05-04
543,2013-05-05
417,2013-05-06
394,2013-05-07
675,2013-05-08
1178,2013-05-09
721,2013-05-10
459,2013-05-11
399,2013-05-12
625,2013-05-13
562,2013-05-14
557,2013-05-15
540,2013-05-16
727,2013-05-17
547,2013-05-18
603,2013-05-19
2251,2013-05-20
1261,2013-05-21
879,2013-05-22
1059,2013-05-23
1009,2013-05-24
617,2013-05-25
278,2013-05-26
484,2013-05-27
755,2013-05-28
886,2013-05-29
790,2013-05-30
917,2013-05-31
530,2013-06-01
774,2013-06-02
954,2013-06-03
682,2013-06-04
530,2013-06-05
767,2013-06-06
1143,2013-06-07
656,2013-06-08
656,2013-06-09
1222,2013-06-10
845,2013-06-11
687,2013-06-12
909,2013-06-13
863,2013-06-14
582,2013-06-15
536,2013-06-16
816,2013-06-17
1572,2013-06-18
1179,2013-06-19
851,2013-06-20
727,2013-06-21
792,2013-06-22
926,2013-06-23
1839,2013-06-24
1592,2013-06-25
1211,2013-06-26
1130,2013-06-27
1512,2013-06-28
1358,2013-06-29
973,2013-06-30
918,2013-07-01
841,2013-07-02
761,2013-07-03
675,2013-07-04
492,2013-07-05
1017,2013-07-06
2031,2013-07-07
1396,2013-07-08
1779,2013-07-09
889,2013-07-10
1067,2013-07-11
814,2013-07-12
522,2013-07-13
440,2013-07-14
689,2013-07-15
816,2013-07-16
795,2013-07-17
647,2013-07-18
837,2013-07-19
598,2013-07-20
1130,2013-07-21
1037,2013-07-22
826,2013-07-23
780,2013-07-24
630,2013-07-25
783,2013-07-26
431,2013-07-27
481,2013-07-28
978,2013-07-29
798,2013-07-30
697,2013-07-31
757,2013-08-01
888,2013-08-02
609,2013-08-03
673,2013-08-04
821,2013-08-05
956,2013-08-06
812,2013-08-07
876,2013-08-08
941,2013-08-09
862,2013-08-10
769,2013-08-11
945,2013-08-12
865,2013-08-13
763,2013-08-14
673,2013-08-15
705,2013-08-16
807,2013-08-17
698,2013-08-18
870,2013-08-19
652,2013-08-20
668,2013-08-21
776,2013-08-22
1062,2013-08-23
682,2013-08-24
606,2013-08-25
684,2013-08-26
569,2013-08-27
685,2013-08-28
970,2013-08-29
898,2013-08-30
697,2013-08-31
430,2013-09-01
607,2013-09-02
1557,2013-09-03
1058,2013-09-04
793,2013-09-05
840,2013-09-06
629,2013-09-07
499,2013-09-08
669,2013-09-09
824,2013-09-10
1045,2013-09-11
1016,2013-09-12
2001,2013-09-13
775,2013-09-14
690,2013-09-15
742,2013-09-16
660,2013-09-17
557,2013-09-18
908,2013-09-19
1311,2013-09-20
1039,2013-09-21
904,2013-09-22
1099,2013-09-23
984,2013-09-24
768,2013-09-25
1070,2013-09-26
1178,2013-09-27
594,2013-09-28
709,2013-09-29
929,2013-09-30
643,2013-10-01
3602,2013-10-02
1539,2013-10-03
1321,2013-10-04
717,2013-10-05
765,2013-10-06
1316,2013-10-07
1252,2013-10-08
955,2013-10-09
885,2013-10-10
1088,2013-10-11
764,2013-10-12
684,2013-10-13
1443,2013-10-14
1650,2013-10-15
779,2013-10-16
880,2013-10-17
1219,2013-10-18
809,2013-10-19
807,2013-10-20
1615,2013-10-21
1555,2013-10-22
847,2013-10-23
1077,2013-10-24
896,2013-10-25
840,2013-10-26
648,2013-10-27
2054,2013-10-28
668,2013-10-29
769,2013-10-30
978,2013-10-31
2084,2013-11-01
1110,2013-11-02
908,2013-11-03
958,2013-11-04
743,2013-11-05
1010,2013-11-06
1285,2013-11-07
1053,2013-11-08
939,2013-11-09
736,2013-11-10
929,2013-11-11
835,2013-11-12
757,2013-11-13
1026,2013-11-14
897,2013-11-15
1220,2013-11-16
951,2013-11-17
1010,2013-11-18
997,2013-11-19
679,2013-11-20
868,2013-11-21
1249,2013-11-22
1256,2013-11-23
963,2013-11-24
880,2013-11-25
1092,2013-11-26
1149,2013-11-27
746,2013-11-28
627,2013-11-29
715,2013-11-30
846,2013-12-01
1153,2013-12-02
926,2013-12-03
950,2013-12-04
976,2013-12-05
1484,2013-12-06
2322,2013-12-07
1424,2013-12-08
2233,2013-12-09
1833,2013-12-10
1323,2013-12-11
1284,2013-12-12
1831,2013-12-13
1332,2013-12-14
1153,2013-12-15
1236,2013-12-16
1354,2013-12-17
1291,2013-12-18
1303,2013-12-19
1578,2013-12-20
2047,2013-12-21
2188,2013-12-22
2188,2013-12-23
1724,2013-12-24
927,2013-12-25
1446,2013-12-26
1425,2013-12-27
1548,2013-12-28
1455,2013-12-29
2045,2013-12-30
2658,2013-12-31
1131,2014-01-01
1962,2014-01-02
2042,2014-01-03
3069,2014-01-04
5666,2014-01-05
3548,2014-01-06
2079,2014-01-07
1639,2014-01-08
1630,2014-01-09
1334,2014-01-10
1077,2014-01-11
1214,2014-01-12
858,2014-01-13
752,2014-01-14
756,2014-01-15
1168,2014-01-16
931,2014-01-17
766,2014-01-18
610,2014-01-19
829,2014-01-20
927,2014-01-21
1154,2014-01-22
1068,2014-01-23
1084,2014-01-24
1005,2014-01-25
1278,2014-01-26
1173,2014-01-27
1146,2014-01-28
1182,2014-01-29
847,2014-01-30
1013,2014-01-31
1158,2014-02-01
1459,2014-02-02
1469,2014-02-03
1644,2014-02-04
1359,2014-02-05
1241,2014-02-06
1217,2014-02-07
