,status,start_date,start_station,end_date,end_station,bike_nr,subsc_type,zip_code,birth_date,gender,id,start_hour,end_hour,start_weekday,end_weekday,trip_duration,age,start_coordinates,end_coordinates,start_municipal,end_municipal,start_latitude,start_longitude,end_latitude,end_longitude,stations_exist
8072,Closed,2011-08-06 07:44:00,8.0,2011-08-06 08:12:00,10.0,B00326,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDc6NDQ6MDA6OC82LzIwMTEgMDg6MTI6MDA6OC4wOjEwLjA6QjAwMzI2,7,8,5,5,1680,2019.0,"42.3537768,-71.1366199647727","-34.8484354,-58.2756612",Boston,Boston,42.3537768,-71.1366199647727,-34.8484354,-58.2756612,True
8073,Closed,2011-08-06 07:44:00,45.0,2011-08-06 07:47:00,32.0,B00450,REGISTERED,'02115,1981.0,Male,OC82LzIwMTEgMDc6NDQ6MDA6OC82LzIwMTEgMDc6NDc6MDA6NDUuMDozMi4wOkIwMDQ1MA==,7,7,5,5,180,38.0,"42.3500548,-71.0774775","42.3448548,-71.1023117034698",Boston,Boston,42.3500548,-71.0774775,42.3448548,-71.1023117034698,True
8078,Closed,2011-08-06 07:53:00,45.0,2011-08-06 08:18:00,22.0,B00205,REGISTERED,'02215,1955.0,Male,OC82LzIwMTEgMDc6NTM6MDA6OC82LzIwMTEgMDg6MTg6MDA6NDUuMDoyMi4wOkIwMDIwNQ==,7,8,5,5,1500,64.0,"42.3500548,-71.0774775","47.89376835,3.10927507493543",Boston,Boston,42.3500548,-71.0774775,47.89376835,3.10927507493543,True
8079,Closed,2011-08-06 07:58:00,40.0,2011-08-06 08:05:00,22.0,B00290,REGISTERED,'02113,1984.0,Male,OC82LzIwMTEgMDc6NTg6MDA6OC82LzIwMTEgMDg6MDU6MDA6NDAuMDoyMi4wOkIwMDI5MA==,7,8,5,5,420,35.0,"42.3635056,-71.0502922","47.89376835,3.10927507493543",Boston,Boston,42.3635056,-71.0502922,47.89376835,3.10927507493543,True
8080,Closed,2011-08-06 07:58:00,32.0,2011-08-06 08:11:00,9.0,B00078,REGISTERED,'02215,1982.0,Female,OC82LzIwMTEgMDc6NTg6MDA6OC82LzIwMTEgMDg6MTE6MDA6MzIuMDo5LjA6QjAwMDc4,7,8,5,5,780,37.0,"42.3448548,-71.1023117034698","42.35215405,-71.1177050872685",Boston,Boston,42.3448548,-71.1023117034698,42.35215405,-71.1177050872685,True
8083,Closed,2011-08-06 08:03:00,32.0,2011-08-06 08:09:00,53.0,B00356,REGISTERED,'02115,1981.0,Male,OC82LzIwMTEgMDg6MDM6MDA6OC82LzIwMTEgMDg6MDk6MDA6MzIuMDo1My4wOkIwMDM1Ng==,8,8,5,5,360,38.0,"42.3448548,-71.1023117034698","42.3553503,-71.0728293",Boston,Boston,42.3448548,-71.1023117034698,42.3553503,-71.0728293,True
8084,Closed,2011-08-06 08:05:00,49.0,2011-08-06 09:44:00,42.0,B00010,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MDU6MDA6OC82LzIwMTEgMDk6NDQ6MDA6NDkuMDo0Mi4wOkIwMDAxMA==,8,9,5,5,5940,2019.0,"42.3003827,-71.0624746","42.3491713,-71.0695618",Boston,Boston,42.3003827,-71.0624746,42.3491713,-71.0695618,True
8085,Closed,2011-08-06 08:13:00,49.0,2011-08-06 16:20:00,49.0,B00126,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MTM6MDA6OC82LzIwMTEgMTY6MjA6MDA6NDkuMDo0OS4wOkIwMDEyNg==,8,16,5,5,29220,2019.0,"42.3003827,-71.0624746","42.3003827,-71.0624746",Boston,Boston,42.3003827,-71.0624746,42.3003827,-71.0624746,True
8086,Closed,2011-08-06 08:12:00,52.0,2011-08-06 08:27:00,46.0,B00445,REGISTERED,'02215,1983.0,Female,OC82LzIwMTEgMDg6MTI6MDA6OC82LzIwMTEgMDg6Mjc6MDA6NTIuMDo0Ni4wOkIwMDQ0NQ==,8,8,5,5,900,36.0,"42.3520749,-71.0733646","42.34434735,-71.0835021653958",Boston,Boston,42.3520749,-71.0733646,42.34434735,-71.0835021653958,True
8087,Closed,2011-08-06 08:13:00,49.0,2011-08-06 16:23:00,49.0,B00322,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDg6MTM6MDA6OC82LzIwMTEgMTY6MjM6MDA6NDkuMDo0OS4wOkIwMDMyMg==,8,16,5,5,29400,2019.0,"42.3003827,-71.0624746","42.3003827,-71.0624746",Boston,Boston,42.3003827,-71.0624746,42.3003827,-71.0624746,True
