,status,start_date,start_station,end_date,end_station,bike_nr,subsc_type,zip_code,birth_date,gender,id,start_hour,end_hour,start_weekday,end_weekday,trip_duration,age,start_coordinates,end_coordinates,start_municipal,end_municipal,start_latitude,start_longitude,end_latitude,end_longitude,stations_exist
9,Closed,2011-07-28 11:55:00,47.0,2011-07-28 12:13:00,40.0,B00550,REGISTERED,'01867,1994.0,Male,Ny8yOC8yMDExIDExOjU1OjAwOjcvMjgvMjAxMSAxMjoxMzowMDo0Ny4wOjQwLjA6QjAwNTUw,11,12,3,3,1080,25.0,"42.364779,-71.053461","42.3635056,-71.0502922",Boston,Boston,42.364779,-71.053461,42.3635056,-71.0502922,True
10,Closed,2011-07-28 11:55:00,47.0,2011-07-28 12:13:00,40.0,B00580,REGISTERED,'01867,1956.0,Male,Ny8yOC8yMDExIDExOjU1OjAwOjcvMjgvMjAxMSAxMjoxMzowMDo0Ny4wOjQwLjA6QjAwNTgw,11,12,3,3,1080,63.0,"42.364779,-71.053461","42.3635056,-71.0502922",Boston,Boston,42.364779,-71.053461,42.3635056,-71.0502922,True
11,Closed,2011-07-28 11:55:00,47.0,2011-07-28 12:12:00,40.0,B00539,REGISTERED,'01867,1959.0,Female,Ny8yOC8yMDExIDExOjU1OjAwOjcvMjgvMjAxMSAxMjoxMjowMDo0Ny4wOjQwLjA6QjAwNTM5,11,12,3,3,1020,60.0,"42.364779,-71.053461","42.3635056,-71.0502922",Boston,Boston,42.364779,-71.053461,42.3635056,-71.0502922,True
12,Closed,2011-07-28 12:00:00,40.0,2011-07-28 12:16:00,47.0,B00368,CASUAL,,0.0,No Gender,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjoxNjowMDo0MC4wOjQ3LjA6QjAwMzY4,12,12,3,3,960,2019.0,"42.3635056,-71.0502922","42.364779,-71.053461",Boston,Boston,42.3635056,-71.0502922,42.364779,-71.053461,True
13,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:00:00,22.0,B00442,REGISTERED,'02446,1982.0,Male,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjowMDowMDoyMi4wOjIyLjA6QjAwNDQy,12,12,3,3,0,37.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
15,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:01:00,22.0,B00316,REGISTERED,'02115,1960.0,Female,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjowMTowMDoyMi4wOjIyLjA6QjAwMzE2,12,12,3,3,60,59.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
16,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:21:00,45.0,B00454,REGISTERED,'02492,1975.0,Male,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjoyMTowMDoyMi4wOjQ1LjA6QjAwNDU0,12,12,3,3,1260,44.0,"47.89376835,3.10927507493543","42.3500548,-71.0774775",Boston,Boston,47.89376835,3.10927507493543,42.3500548,-71.0774775,True
17,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:00:00,22.0,B00404,REGISTERED,'02446,1956.0,Male,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjowMDowMDoyMi4wOjIyLjA6QjAwNDA0,12,12,3,3,0,63.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
21,Closed,2011-07-28 12:01:00,22.0,2011-07-28 12:17:00,44.0,B00487,REGISTERED,'02143,1971.0,Male,Ny8yOC8yMDExIDEyOjAxOjAwOjcvMjgvMjAxMSAxMjoxNzowMDoyMi4wOjQ0LjA6QjAwNDg3,12,12,3,3,960,48.0,"47.89376835,3.10927507493543","42.3600335,-71.05623415",Boston,Boston,47.89376835,3.10927507493543,42.3600335,-71.05623415,True
23,Closed,2011-07-28 12:01:00,22.0,2011-07-28 12:12:00,20.0,B00375,REGISTERED,'02474,1955.0,Female,Ny8yOC8yMDExIDEyOjAxOjAwOjcvMjgvMjAxMSAxMjoxMjowMDoyMi4wOjIwLjA6QjAwMzc1,12,12,3,3,660,64.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
24,Closed,2011-07-28 12:02:00,22.0,2011-07-28 12:02:00,22.0,B00275,REGISTERED,'02140,1971.0,Female,Ny8yOC8yMDExIDEyOjAyOjAwOjcvMjgvMjAxMSAxMjowMjowMDoyMi4wOjIyLjA6QjAwMjc1,12,12,3,3,0,48.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
27,Closed,2011-07-28 12:02:00,22.0,2011-07-28 12:02:00,22.0,B00137,REGISTERED,'01776,1949.0,Male,Ny8yOC8yMDExIDEyOjAyOjAwOjcvMjgvMjAxMSAxMjowMjowMDoyMi4wOjIyLjA6QjAwMTM3,12,12,3,3,0,70.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
28,Closed,2011-07-28 12:02:00,22.0,2011-07-28 12:02:00,22.0,B00082,REGISTERED,'01880,1968.0,Male,Ny8yOC8yMDExIDEyOjAyOjAwOjcvMjgvMjAxMSAxMjowMjowMDoyMi4wOjIyLjA6QjAwMDgy,12,12,3,3,0,51.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
31,Closed,2011-07-28 12:03:00,22.0,2011-07-28 12:26:00,25.0,B00404,REGISTERED,'02446,1982.0,Male,Ny8yOC8yMDExIDEyOjAzOjAwOjcvMjgvMjAxMSAxMjoyNjowMDoyMi4wOjI1LjA6QjAwNDA0,12,12,3,3,1380,37.0,"47.89376835,3.10927507493543","42.3582926,-71.0602525",Boston,Boston,47.89376835,3.10927507493543,42.3582926,-71.0602525,True
32,Closed,2011-07-28 12:03:00,22.0,2011-07-28 12:22:00,48.0,B00392,REGISTERED,'02144,1958.0,Male,Ny8yOC8yMDExIDEyOjAzOjAwOjcvMjgvMjAxMSAxMjoyMjowMDoyMi4wOjQ4LjA6QjAwMzky,12,12,3,3,1140,61.0,"47.89376835,3.10927507493543","42.3574875,-71.0563285",Boston,Boston,47.89376835,3.10927507493543,42.3574875,-71.0563285,True
33,Closed,2011-07-28 12:03:00,22.0,2011-07-28 12:04:00,22.0,B00198,REGISTERED,'02116,1976.0,Male,Ny8yOC8yMDExIDEyOjAzOjAwOjcvMjgvMjAxMSAxMjowNDowMDoyMi4wOjIyLjA6QjAwMTk4,12,12,3,3,60,43.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
34,Closed,2011-07-28 12:04:00,22.0,2011-07-28 12:32:00,36.0,B00316,REGISTERED,'02115,1960.0,Female,Ny8yOC8yMDExIDEyOjA0OjAwOjcvMjgvMjAxMSAxMjozMjowMDoyMi4wOjM2LjA6QjAwMzE2,12,12,3,3,1680,59.0,"47.89376835,3.10927507493543","42.3493269,-71.0786551908223",Boston,Boston,47.89376835,3.10927507493543,42.3493269,-71.0786551908223,True
35,Closed,2011-07-28 12:05:00,22.0,2011-07-28 12:37:00,31.0,B00069,REGISTERED,'02021,1951.0,Male,Ny8yOC8yMDExIDEyOjA1OjAwOjcvMjgvMjAxMSAxMjozNzowMDoyMi4wOjMxLjA6QjAwMDY5,12,12,3,3,1920,68.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
36,Closed,2011-07-28 12:05:00,22.0,2011-07-28 12:38:00,31.0,B00298,REGISTERED,'02151,1987.0,Female,Ny8yOC8yMDExIDEyOjA1OjAwOjcvMjgvMjAxMSAxMjozODowMDoyMi4wOjMxLjA6QjAwMjk4,12,12,3,3,1980,32.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
37,Closed,2011-07-28 12:06:00,22.0,2011-07-28 12:23:00,36.0,B00543,REGISTERED,'02116,1981.0,Female,Ny8yOC8yMDExIDEyOjA2OjAwOjcvMjgvMjAxMSAxMjoyMzowMDoyMi4wOjM2LjA6QjAwNTQz,12,12,3,3,1020,38.0,"47.89376835,3.10927507493543","42.3493269,-71.0786551908223",Boston,Boston,47.89376835,3.10927507493543,42.3493269,-71.0786551908223,True
38,Closed,2011-07-28 12:08:00,22.0,2011-07-28 12:23:00,42.0,B00189,REGISTERED,'02127,1968.0,Male,Ny8yOC8yMDExIDEyOjA4OjAwOjcvMjgvMjAxMSAxMjoyMzowMDoyMi4wOjQyLjA6QjAwMTg5,12,12,3,3,900,51.0,"47.89376835,3.10927507493543","42.3491713,-71.0695618",Boston,Boston,47.89376835,3.10927507493543,42.3491713,-71.0695618,True
39,Closed,2011-07-28 12:09:00,16.0,2011-07-28 12:09:00,16.0,B00533,REGISTERED,'02445,1958.0,Male,Ny8yOC8yMDExIDEyOjA5OjAwOjcvMjgvMjAxMSAxMjowOTowMDoxNi4wOjE2LjA6QjAwNTMz,12,12,3,3,0,61.0,"42.3507067,-71.0797297","42.3507067,-71.0797297",Boston,Boston,42.3507067,-71.0797297,42.3507067,-71.0797297,True
40,Closed,2011-07-28 12:10:00,22.0,2011-07-28 12:18:00,49.0,B00353,REGISTERED,'01880,1968.0,Male,Ny8yOC8yMDExIDEyOjEwOjAwOjcvMjgvMjAxMSAxMjoxODowMDoyMi4wOjQ5LjA6QjAwMzUz,12,12,3,3,480,51.0,"47.89376835,3.10927507493543","42.3003827,-71.0624746",Boston,Boston,47.89376835,3.10927507493543,42.3003827,-71.0624746,True
41,Closed,2011-07-28 12:11:00,22.0,2011-07-28 12:23:00,40.0,B00442,REGISTERED,'02113,1973.0,Female,Ny8yOC8yMDExIDEyOjExOjAwOjcvMjgvMjAxMSAxMjoyMzowMDoyMi4wOjQwLjA6QjAwNDQy,12,12,3,3,720,46.0,"47.89376835,3.10927507493543","42.3635056,-71.0502922",Boston,Boston,47.89376835,3.10927507493543,42.3635056,-71.0502922,True
42,Closed,2011-07-28 12:14:00,40.0,2011-07-28 12:41:00,20.0,B00550,REGISTERED,'01867,1994.0,Male,Ny8yOC8yMDExIDEyOjE0OjAwOjcvMjgvMjAxMSAxMjo0MTowMDo0MC4wOjIwLjA6QjAwNTUw,12,12,3,3,1620,25.0,"42.3635056,-71.0502922","47.89376835,3.10927507493543",Boston,Boston,42.3635056,-71.0502922,47.89376835,3.10927507493543,True
43,Closed,2011-07-28 12:14:00,22.0,2011-07-28 12:18:00,22.0,B00275,REGISTERED,'01876,1963.0,Female,Ny8yOC8yMDExIDEyOjE0OjAwOjcvMjgvMjAxMSAxMjoxODowMDoyMi4wOjIyLjA6QjAwMjc1,12,12,3,3,240,56.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
45,Closed,2011-07-28 12:15:00,40.0,2011-07-28 12:41:00,20.0,B00539,REGISTERED,'01867,1956.0,Male,Ny8yOC8yMDExIDEyOjE1OjAwOjcvMjgvMjAxMSAxMjo0MTowMDo0MC4wOjIwLjA6QjAwNTM5,12,12,3,3,1560,63.0,"42.3635056,-71.0502922","47.89376835,3.10927507493543",Boston,Boston,42.3635056,-71.0502922,47.89376835,3.10927507493543,True
46,Closed,2011-07-28 12:15:00,40.0,2011-07-28 12:41:00,20.0,B00580,REGISTERED,'01867,1994.0,Female,Ny8yOC8yMDExIDEyOjE1OjAwOjcvMjgvMjAxMSAxMjo0MTowMDo0MC4wOjIwLjA6QjAwNTgw,12,12,3,3,1560,25.0,"42.3635056,-71.0502922","47.89376835,3.10927507493543",Boston,Boston,42.3635056,-71.0502922,47.89376835,3.10927507493543,True
48,Closed,2011-07-28 12:16:00,22.0,2011-07-28 12:31:00,49.0,B00082,REGISTERED,'01776,1949.0,Male,Ny8yOC8yMDExIDEyOjE2OjAwOjcvMjgvMjAxMSAxMjozMTowMDoyMi4wOjQ5LjA6QjAwMDgy,12,12,3,3,900,70.0,"47.89376835,3.10927507493543","42.3003827,-71.0624746",Boston,Boston,47.89376835,3.10927507493543,42.3003827,-71.0624746,True
49,Closed,2011-07-28 12:19:00,45.0,2011-07-28 12:35:00,36.0,B00426,REGISTERED,'01742,1962.0,Male,Ny8yOC8yMDExIDEyOjE5OjAwOjcvMjgvMjAxMSAxMjozNTowMDo0NS4wOjM2LjA6QjAwNDI2,12,12,3,3,960,57.0,"42.3500548,-71.0774775","42.3493269,-71.0786551908223",Boston,Boston,42.3500548,-71.0774775,42.3493269,-71.0786551908223,True
50,Closed,2011-07-28 12:20:00,22.0,2011-07-28 12:33:00,20.0,B00359,REGISTERED,'01945,1943.0,Male,Ny8yOC8yMDExIDEyOjIwOjAwOjcvMjgvMjAxMSAxMjozMzowMDoyMi4wOjIwLjA6QjAwMzU5,12,12,3,3,780,76.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
51,Closed,2011-07-28 12:20:00,36.0,2011-07-28 12:25:00,46.0,B00147,REGISTERED,'02118,1987.0,Female,Ny8yOC8yMDExIDEyOjIwOjAwOjcvMjgvMjAxMSAxMjoyNTowMDozNi4wOjQ2LjA6QjAwMTQ3,12,12,3,3,300,32.0,"42.3493269,-71.0786551908223","42.34434735,-71.0835021653958",Boston,Boston,42.3493269,-71.0786551908223,42.34434735,-71.0835021653958,True
52,Closed,2011-07-28 12:23:00,45.0,2011-07-28 12:29:00,10.0,B00454,REGISTERED,'02492,1975.0,Male,Ny8yOC8yMDExIDEyOjIzOjAwOjcvMjgvMjAxMSAxMjoyOTowMDo0NS4wOjEwLjA6QjAwNDU0,12,12,3,3,360,44.0,"42.3500548,-71.0774775","-34.8484354,-58.2756612",Boston,Boston,42.3500548,-71.0774775,-34.8484354,-58.2756612,True
53,Closed,2011-07-28 12:24:00,45.0,2011-07-28 12:50:00,16.0,B00131,REGISTERED,'02143,1981.0,Male,Ny8yOC8yMDExIDEyOjI0OjAwOjcvMjgvMjAxMSAxMjo1MDowMDo0NS4wOjE2LjA6QjAwMTMx,12,12,3,3,1560,38.0,"42.3500548,-71.0774775","42.3507067,-71.0797297",Boston,Boston,42.3500548,-71.0774775,42.3507067,-71.0797297,True
55,Closed,2011-07-28 12:27:00,40.0,2011-07-28 13:02:00,40.0,B00358,CASUAL,,0.0,No Gender,Ny8yOC8yMDExIDEyOjI3OjAwOjcvMjgvMjAxMSAxMzowMjowMDo0MC4wOjQwLjA6QjAwMzU4,12,13,3,3,2100,2019.0,"42.3635056,-71.0502922","42.3635056,-71.0502922",Boston,Boston,42.3635056,-71.0502922,42.3635056,-71.0502922,True
56,Closed,2011-07-28 12:25:00,22.0,2011-07-28 13:10:00,14.0,B00058,REGISTERED,'01876,1963.0,Female,Ny8yOC8yMDExIDEyOjI1OjAwOjcvMjgvMjAxMSAxMzoxMDowMDoyMi4wOjE0LjA6QjAwMDU4,12,13,3,3,2700,56.0,"47.89376835,3.10927507493543","42.337171,-71.102797",Boston,Boston,47.89376835,3.10927507493543,42.337171,-71.102797,True
57,Closed,2011-07-28 12:26:00,36.0,2011-07-28 12:38:00,39.0,B00170,REGISTERED,'02116,1983.0,Male,Ny8yOC8yMDExIDEyOjI2OjAwOjcvMjgvMjAxMSAxMjozODowMDozNi4wOjM5LjA6QjAwMTcw,12,12,3,3,720,36.0,"42.3493269,-71.0786551908223","42.3387682,-71.0747191",Boston,Boston,42.3493269,-71.0786551908223,42.3387682,-71.0747191,True
58,Closed,2011-07-28 12:27:00,36.0,2011-07-28 12:38:00,39.0,B00543,REGISTERED,'02116,1981.0,Female,Ny8yOC8yMDExIDEyOjI3OjAwOjcvMjgvMjAxMSAxMjozODowMDozNi4wOjM5LjA6QjAwNTQz,12,12,3,3,660,38.0,"42.3493269,-71.0786551908223","42.3387682,-71.0747191",Boston,Boston,42.3493269,-71.0786551908223,42.3387682,-71.0747191,True
59,Closed,2011-07-28 12:30:00,46.0,2011-07-28 12:38:00,46.0,B00147,REGISTERED,'02118,1987.0,Female,Ny8yOC8yMDExIDEyOjMwOjAwOjcvMjgvMjAxMSAxMjozODowMDo0Ni4wOjQ2LjA6QjAwMTQ3,12,12,3,3,480,32.0,"42.34434735,-71.0835021653958","42.34434735,-71.0835021653958",Boston,Boston,42.34434735,-71.0835021653958,42.34434735,-71.0835021653958,True
61,Closed,2011-07-28 12:31:00,3.0,2011-07-28 12:32:00,3.0,B00071,REGISTERED,'02118,1967.0,Male,Ny8yOC8yMDExIDEyOjMxOjAwOjcvMjgvMjAxMSAxMjozMjowMDozLjA6My4wOkIwMDA3MQ==,12,12,3,3,60,52.0,"42.33893545,-71.1004318389973","42.33893545,-71.1004318389973",Boston,Boston,42.33893545,-71.1004318389973,42.33893545,-71.1004318389973,True
65,Closed,2011-07-28 12:37:00,10.0,2011-07-28 12:43:00,41.0,B00454,REGISTERED,'02492,1975.0,Male,Ny8yOC8yMDExIDEyOjM3OjAwOjcvMjgvMjAxMSAxMjo0MzowMDoxMC4wOjQxLjA6QjAwNDU0,12,12,3,3,360,44.0,"-34.8484354,-58.2756612","42.3517566,-71.1253325",Boston,Boston,-34.8484354,-58.2756612,42.3517566,-71.1253325,True
66,Closed,2011-07-28 12:39:00,42.0,2011-07-28 12:46:00,36.0,B00279,REGISTERED,'01720,1966.0,Male,Ny8yOC8yMDExIDEyOjM5OjAwOjcvMjgvMjAxMSAxMjo0NjowMDo0Mi4wOjM2LjA6QjAwMjc5,12,12,3,3,420,53.0,"42.3491713,-71.0695618","42.3493269,-71.0786551908223",Boston,Boston,42.3491713,-71.0695618,42.3493269,-71.0786551908223,True
67,Closed,2011-07-28 12:42:00,16.0,2011-07-28 12:54:00,22.0,B00462,REGISTERED,'02140,1966.0,Male,Ny8yOC8yMDExIDEyOjQyOjAwOjcvMjgvMjAxMSAxMjo1NDowMDoxNi4wOjIyLjA6QjAwNDYy,12,12,3,3,720,53.0,"42.3507067,-71.0797297","47.89376835,3.10927507493543",Boston,Boston,42.3507067,-71.0797297,47.89376835,3.10927507493543,True
68,Closed,2011-07-28 12:43:00,20.0,2011-07-28 13:43:00,43.0,B00550,REGISTERED,'01867,1959.0,Female,Ny8yOC8yMDExIDEyOjQzOjAwOjcvMjgvMjAxMSAxMzo0MzowMDoyMC4wOjQzLjA6QjAwNTUw,12,13,3,3,3600,60.0,"47.89376835,3.10927507493543","42.3557276,-71.0499095",Boston,Boston,47.89376835,3.10927507493543,42.3557276,-71.0499095,True
69,Closed,2011-07-28 12:43:00,20.0,2011-07-28 13:18:00,43.0,B00539,REGISTERED,'01867,1994.0,Female,Ny8yOC8yMDExIDEyOjQzOjAwOjcvMjgvMjAxMSAxMzoxODowMDoyMC4wOjQzLjA6QjAwNTM5,12,13,3,3,2100,25.0,"47.89376835,3.10927507493543","42.3557276,-71.0499095",Boston,Boston,47.89376835,3.10927507493543,42.3557276,-71.0499095,True
70,Closed,2011-07-28 12:44:00,20.0,2011-07-28 13:42:00,43.0,B00580,REGISTERED,'01867,1956.0,Male,Ny8yOC8yMDExIDEyOjQ0OjAwOjcvMjgvMjAxMSAxMzo0MjowMDoyMC4wOjQzLjA6QjAwNTgw,12,13,3,3,3480,63.0,"47.89376835,3.10927507493543","42.3557276,-71.0499095",Boston,Boston,47.89376835,3.10927507493543,42.3557276,-71.0499095,True
71,Closed,2011-07-28 12:45:00,42.0,2011-07-28 13:01:00,10.0,B00189,REGISTERED,'02127,1968.0,Male,Ny8yOC8yMDExIDEyOjQ1OjAwOjcvMjgvMjAxMSAxMzowMTowMDo0Mi4wOjEwLjA6QjAwMTg5,12,13,3,3,960,51.0,"42.3491713,-71.0695618","-34.8484354,-58.2756612",Boston,Boston,42.3491713,-71.0695618,-34.8484354,-58.2756612,True
72,Closed,2011-07-28 12:46:00,36.0,2011-07-28 12:54:00,49.0,B00426,REGISTERED,'02116,1982.0,Female,Ny8yOC8yMDExIDEyOjQ2OjAwOjcvMjgvMjAxMSAxMjo1NDowMDozNi4wOjQ5LjA6QjAwNDI2,12,12,3,3,480,37.0,"42.3493269,-71.0786551908223","42.3003827,-71.0624746",Boston,Boston,42.3493269,-71.0786551908223,42.3003827,-71.0624746,True
73,Closed,2011-07-28 12:46:00,25.0,2011-07-28 13:32:00,39.0,B00404,REGISTERED,'02446,1982.0,Male,Ny8yOC8yMDExIDEyOjQ2OjAwOjcvMjgvMjAxMSAxMzozMjowMDoyNS4wOjM5LjA6QjAwNDA0,12,13,3,3,2760,37.0,"42.3582926,-71.0602525","42.3387682,-71.0747191",Boston,Boston,42.3582926,-71.0602525,42.3387682,-71.0747191,True
74,Closed,2011-07-28 12:52:00,40.0,2011-07-28 13:42:00,44.0,B00258,CASUAL,,0.0,No Gender,Ny8yOC8yMDExIDEyOjUyOjAwOjcvMjgvMjAxMSAxMzo0MjowMDo0MC4wOjQ0LjA6QjAwMjU4,12,13,3,3,3000,2019.0,"42.3635056,-71.0502922","42.3600335,-71.05623415",Boston,Boston,42.3635056,-71.0502922,42.3600335,-71.05623415,True
75,Closed,2011-07-28 12:52:00,40.0,2011-07-28 13:42:00,44.0,B00442,CASUAL,,0.0,No Gender,Ny8yOC8yMDExIDEyOjUyOjAwOjcvMjgvMjAxMSAxMzo0MjowMDo0MC4wOjQ0LjA6QjAwNDQy,12,13,3,3,3000,2019.0,"42.3635056,-71.0502922","42.3600335,-71.05623415",Boston,Boston,42.3635056,-71.0502922,42.3600335,-71.05623415,True
77,Closed,2011-07-28 12:59:00,36.0,2011-07-28 13:33:00,36.0,B00139,CASUAL,,0.0,No Gender,Ny8yOC8yMDExIDEyOjU5OjAwOjcvMjgvMjAxMSAxMzozMzowMDozNi4wOjM2LjA6QjAwMTM5,12,13,3,3,2040,2019.0,"42.3493269,-71.0786551908223","42.3493269,-71.0786551908223",Boston,Boston,42.3493269,-71.0786551908223,42.3493269,-71.0786551908223,True
79,Closed,2011-07-28 13:02:00,39.0,2011-07-28 13:05:00,39.0,B00543,REGISTERED,'02143,1981.0,Male,Ny8yOC8yMDExIDEzOjAyOjAwOjcvMjgvMjAxMSAxMzowNTowMDozOS4wOjM5LjA6QjAwNTQz,13,13,3,3,180,38.0,"42.3387682,-71.0747191","42.3387682,-71.0747191",Boston,Boston,42.3387682,-71.0747191,42.3387682,-71.0747191,True
80,Closed,2011-07-28 13:04:00,31.0,2011-07-28 13:06:00,43.0,B00069,REGISTERED,'01890,1978.0,Male,Ny8yOC8yMDExIDEzOjA0OjAwOjcvMjgvMjAxMSAxMzowNjowMDozMS4wOjQzLjA6QjAwMDY5,13,13,3,3,120,41.0,"42.3502036,-71.0427412","42.3557276,-71.0499095",Boston,Boston,42.3502036,-71.0427412,42.3557276,-71.0499095,True
82,Closed,2011-07-28 13:05:00,39.0,2011-07-28 13:15:00,36.0,B00170,REGISTERED,'02116,1983.0,Male,Ny8yOC8yMDExIDEzOjA1OjAwOjcvMjgvMjAxMSAxMzoxNTowMDozOS4wOjM2LjA6QjAwMTcw,13,13,3,3,600,36.0,"42.3387682,-71.0747191","42.3493269,-71.0786551908223",Boston,Boston,42.3387682,-71.0747191,42.3493269,-71.0786551908223,True
83,Closed,2011-07-28 13:05:00,5.0,2011-07-28 13:14:00,5.0,B00227,REGISTERED,'02139,1986.0,Male,Ny8yOC8yMDExIDEzOjA1OjAwOjcvMjgvMjAxMSAxMzoxNDowMDo1LjA6NS4wOkIwMDIyNw==,13,13,3,3,540,33.0,"42.3400454,-71.0896869","42.3400454,-71.0896869",Boston,Boston,42.3400454,-71.0896869,42.3400454,-71.0896869,True
84,Closed,2011-07-28 13:05:00,48.0,2011-07-28 13:07:00,48.0,B00261,REGISTERED,'01719,1971.0,Male,Ny8yOC8yMDExIDEzOjA1OjAwOjcvMjgvMjAxMSAxMzowNzowMDo0OC4wOjQ4LjA6QjAwMjYx,13,13,3,3,120,48.0,"42.3574875,-71.0563285","42.3574875,-71.0563285",Boston,Boston,42.3574875,-71.0563285,42.3574875,-71.0563285,True
86,Closed,2011-07-28 13:06:00,39.0,2011-07-28 13:15:00,36.0,B00543,REGISTERED,'02116,1981.0,Female,Ny8yOC8yMDExIDEzOjA2OjAwOjcvMjgvMjAxMSAxMzoxNTowMDozOS4wOjM2LjA6QjAwNTQz,13,13,3,3,540,38.0,"42.3387682,-71.0747191","42.3493269,-71.0786551908223",Boston,Boston,42.3387682,-71.0747191,42.3493269,-71.0786551908223,True
89,Closed,2011-07-28 13:14:00,22.0,2011-07-28 14:16:00,10.0,B00231,REGISTERED,'97214,1983.0,Female,Ny8yOC8yMDExIDEzOjE0OjAwOjcvMjgvMjAxMSAxNDoxNjowMDoyMi4wOjEwLjA6QjAwMjMx,13,14,3,3,3720,36.0,"47.89376835,3.10927507493543","-34.8484354,-58.2756612",Boston,Boston,47.89376835,3.10927507493543,-34.8484354,-58.2756612,True
91,Closed,2011-07-28 13:15:00,36.0,2011-07-28 13:20:00,42.0,B00170,REGISTERED,'01720,1966.0,Male,Ny8yOC8yMDExIDEzOjE1OjAwOjcvMjgvMjAxMSAxMzoyMDowMDozNi4wOjQyLjA6QjAwMTcw,13,13,3,3,300,53.0,"42.3493269,-71.0786551908223","42.3491713,-71.0695618",Boston,Boston,42.3493269,-71.0786551908223,42.3491713,-71.0695618,True
92,Closed,2011-07-28 13:16:00,10.0,2011-07-28 13:23:00,32.0,B00189,REGISTERED,'02492,1975.0,Male,Ny8yOC8yMDExIDEzOjE2OjAwOjcvMjgvMjAxMSAxMzoyMzowMDoxMC4wOjMyLjA6QjAwMTg5,13,13,3,3,420,44.0,"-34.8484354,-58.2756612","42.3448548,-71.1023117034698",Boston,Boston,-34.8484354,-58.2756612,42.3448548,-71.1023117034698,True
93,Closed,2011-07-28 13:18:00,31.0,2011-07-28 13:18:00,31.0,B00298,REGISTERED,'02138,1972.0,Female,Ny8yOC8yMDExIDEzOjE4OjAwOjcvMjgvMjAxMSAxMzoxODowMDozMS4wOjMxLjA6QjAwMjk4,13,13,3,3,0,47.0,"42.3502036,-71.0427412","42.3502036,-71.0427412",Boston,Boston,42.3502036,-71.0427412,42.3502036,-71.0427412,True
95,Closed,2011-07-28 13:18:00,5.0,2011-07-28 13:23:00,5.0,B00020,REGISTERED,'02139,1986.0,Male,Ny8yOC8yMDExIDEzOjE4OjAwOjcvMjgvMjAxMSAxMzoyMzowMDo1LjA6NS4wOkIwMDAyMA==,13,13,3,3,300,33.0,"42.3400454,-71.0896869","42.3400454,-71.0896869",Boston,Boston,42.3400454,-71.0896869,42.3400454,-71.0896869,True
96,Closed,2011-07-28 13:21:00,40.0,2011-07-28 13:52:00,40.0,B00488,REGISTERED,'01760,1968.0,Male,Ny8yOC8yMDExIDEzOjIxOjAwOjcvMjgvMjAxMSAxMzo1MjowMDo0MC4wOjQwLjA6QjAwNDg4,13,13,3,3,1860,51.0,"42.3635056,-71.0502922","42.3635056,-71.0502922",Boston,Boston,42.3635056,-71.0502922,42.3635056,-71.0502922,True
